index,car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,engine_displacement,horsepower,mileage_per_year,power_per_liter,predicted_price
7158,Audi Q2 1.4TFSI 150PK COD SPORT ADAPTIVE CC|COMFORTAIRCONDITIONING|SPORTSTOELEN|MMI NAVIGATIE|FABRIEKSGARANTIE2+2|,,1,Petrol,Manual,SUV,Q2,25374,1.4,150.0,16916.0,107.14285714285715,33730.383651054915
7159,Audi A6 Allroad 3.0 TDI QUATTRO Pro Line XENON/LEER.ALCANTARA/NAVI/Top auto !!,,7,Diesel,Automatic,Station wagon,A6,108000,3.0,,14400.0,,30709.704990113365
7160,Audi A3 SPORTBACK 1.2TSI Ambition Pro Line Plus [ xenon navi sportstoelen ],,5,Petrol,Manual,Hatchback,A3,100523,1.2,,18276.909090909092,,17716.243194098795
7161,Audi A6 2.0 TDI ULTRA S-TRONIC 110KW Proline plus,,4,Diesel,Automatic,Sedan,A6,89215,2.0,,19825.555555555555,,29904.16904853072
7162,Audi A3 Sportback 1.6 TDI Ambition,,8,Diesel,Manual,Hatchback,A3,191095,1.6,,22481.764705882353,,9493.560713122488
7163,Audi A6 2.0 TDI 136pk Business Edition Leder/Stoelverwarming,,5,Diesel,Manual,Station wagon,A6,87186,2.0,136.0,15852.0,68.0,24023.30856675416
7164,Audi Q5 2.0 TFSI 225PK Quattro Pro Line Automaat Navi / Climate Controle / Cruise Control / Xenon Verlichting / LMV 18'',,7,Petrol,Automatic,SUV,Q5,82041,2.0,225.0,10938.8,112.5,34171.41120512488
7165,Audi A4 AVANT 2.0 TDI Ultra Sport 2x S-line [Xenon Navi],,4,Diesel,Manual,Station wagon,A4,135495,2.0,,30110.0,,18188.801828726657
7166,Audi SQ7 435PK 7P |Keram.|B&O|Sportdiff.|Volleder|Carb.inl.,,2,Diesel,Automatic,SUV,SQ7,33507,,435.0,13402.8,,127979.25726290066
7167,Audi A3 1.8 5V Ambiente MEENEEMPRIJS/APK TM 30-11-2019/ECC/LMV/CRUISE,,17,Petrol,Manual,Hatchback,A3,259343,,,14819.6,,1534.4206536550294
7168,"Audi A3 Sportback 1.0 TFSI 115 PK Sport Pro Line Sportstoelen, Navigatie, stoelverwarming, Verlengde garantie",,1,Petrol,Manual,Hatchback,A3,7954,1.0,115.0,5302.666666666667,115.0,30652.328466332136
7169,Audi A6 Avant 2.0 TDi 07-2014 ::::: Xenon Navi LED Chroom,,5,Diesel,Manual,Station wagon,A6,112276,2.0,,20413.81818181818,,23350.24956320311
7170,"Audi A4 Avant 1.8 TFSI S-LINE AUTOMAAT 18.392 KM !!! / SPORTSTOELEN HALF LEER / SPORTONDERSTEL / 18 ""LM / XENON / ANTRACIETE HEMEL / S-LINE BUMPERS",,4,Petrol,Automatic,Station wagon,A4,18392,1.8,,4087.1111111111113,,31041.201701688224
7171,Audi A6 Avant 40 TDI SPORT LAUNCH EDITION BUSINESS * MMI PLUS * VIRTUAL COCKPIT * VSB7931,,1,Diesel,Automatic,Station wagon,A6,0,40.0,,0.0,,81219.94975343246
7172,Audi Q2 1.4 TFSI CoD 6-bak Pro Line S,,1,Petrol,Manual,SUV,Q2,0,1.4,,0.0,,38699.69354399016
7173,Audi Q2 30 TFSI Sport Pro Line,,1,Petrol,Manual,SUV,Q2,0,30.0,,0.0,,39493.00380662406
7174,Audi A4 Avant 3.2 FSI quattro S-Line Automaat | Leer | B&O | Panoramdak |,,9,Petrol,Automatic,Station wagon,A4,95258,,,10027.157894736842,,17219.743848472757
7175,Audi A1 Sportback 1.0 TFSI 95 PK Advance Sport | XENON | S line Edition *NIEUW*(477573),,1,Petrol,Manual,Hatchback,A1,0,1.0,95.0,0.0,95.0,25676.705019426237
7176,Audi A3 Sportback 1.6 TDI ATr. PRO LINE NAVI / CRUISE / NW TYPE,,6,Diesel,Manual,Hatchback,A3,170715,1.6,,26263.846153846152,,12938.885322780823
7177,Audi A7 Sportback 55 TFSI 340pk S-tronic Quattro Pro Line S + Wegkl. Trekhaak + Assistentiepakket,,1,Petrol,Automatic,Hatchback,A7,9739,55.0,340.0,6492.666666666667,6.181818181818182,120587.1835780279
7178,Audi A6 Limousine 3.0 TDI PL+ Xenon Navi Stuurverw. 2xPDC Drive-Select Trekhaak!,,8,Diesel,Automatic,Sedan,A6,230702,3.0,,27141.41176470588,,16327.980590384106
7179,Audi A1 1.4 TFSI S-LINE NAV. HALF LEER Winterbanden aanwezig,,8,Petrol,Manual,Hatchback,A1,63606,1.4,,7483.058823529412,,12933.895076479657
7180,"Audi A6 2.4 automaat, leder, climate, zeer netjes!",,15,Petrol,Automatic,Sedan,A6,161796,,,10438.451612903225,,7689.716634110372
7181,"Audi A5 Sportback 1.8 TFSI 170 PK Proline +, NL Auto, 1e Eig, Leder, Bi Xenon, Pdc, Navigatie, Clima, Cruise, Dealeronderhouden!",,5,Petrol,Manual,Hatchback,A5,91371,1.8,170.0,16612.909090909092,94.44444444444444,25046.752115479845
7182,Audi Coupe A5 252PK Quattro |B&O|Camera|Matrix|HUD,,3,Petrol,Automatic,Coupe, A5,48063,,252.0,13732.285714285714,,52431.74030431836
7183,Audi A3 Sportback 1.6 TDI Attraction / MMI navi / lm velgen / clima /cruise contr,,8,Diesel,Manual,Hatchback,A3,171577,1.6,,20185.529411764706,,9991.122277126822
7184,Audi A3 1.6 TDI 105 PK 6-Bak Sportback Attraction (BNS),,5,Diesel,Manual,Hatchback,A3,27358,1.6,105.0,4974.181818181818,65.625,19028.50939711315
7185,Audi RS6 Avant QUATTRO 560PK *Dynamic Plus-LED-ACC-BTW,,5,Petrol,Automatic,Station wagon,RS6,100000,,560.0,18181.81818181818,,76203.98756970053
7186,Audi A3 Sportback 1.2 TFSI Navi | Xenon | Trekhaak | Climate control Inclusief 6 maanden Bovag garantie,,7,Petrol,Manual,Hatchback,A3,103310,1.2,,13774.666666666666,,13330.237372831109
7187,"Audi A3 Sportback 1.4 TFSI E-Tron Attract Pro Line Plus, Automaat, Leder, Navigatie, Panoramadak",,4,Petrol,Automatic,Hatchback,A3,95322,1.4,,21182.666666666668,,23276.506904492067
7188,"Audi Q5 2.0 TFSI quattro Automaat 210PK (Airco Climate Ctrl,Cruise Ctrl, Navi,Bl.Carkit,Stoelverw.,Parkeersens.,Leder,MET GARANTIE*)",,10,Petrol,Automatic,SUV,Q5,189865,2.0,210.0,18082.380952380954,105.0,18945.368081560173
7189,Audi A5 Cabriolet 2.0 TFSI,,9,Petrol,Manual,Cabriolet,A5,108521,2.0,,11423.263157894737,,18135.696947760658
7190,Audi A4 Avant 1.8 TFSI Pro Line S 170PK Xenon/Navi/Clima/Cruise/S-line/73.000KM!,,8,Petrol,Manual,Station wagon,A4,73122,1.8,170.0,8602.588235294117,94.44444444444444,17909.107133233538
7191,Audi A1 Sportback | Direct leverbaar | 30 TFSI Advanced | Full led verlichting | 17 inch | MMI Navi voorbereiding | Climate control | Cruise Control |,,0,Petrol,Manual,Hatchback,A1,0,30.0,,0.0,,32819.351959067724
7192,"Audi A4 Avant 2.0 Exclusive Clima, Cruise, Pdc, Trekhaak, Nette auto",,17,Petrol,Manual,Station wagon,A4,242280,,,13844.57142857143,,3299.5223912227534
7193,"Audi Q7 V12 6.0 TDI  500 PK Quattro Tiptronic Automaat Facelift (Cruise/Airco Climate Ctrl,Navi.,Stoelverw.,Xenon,Bl.Carkit,Parkeersens.,MET GARANTIE*)",,10,Diesel,Automatic,SUV,Q7,178658,6.0,500.0,17015.04761904762,83.33333333333333,31770.075618371822
7194,Audi A3 Sportback 1.4 TFSI Attraction Pro Line,,6,Petrol,Manual,Hatchback,A3,90750,1.4,,13961.538461538461,,17727.743604475105
7195,Audi A3 Sportback 1.0 TFSI 115 pk Aut. S-Tronic Pro Line (XEN/NAV/PDC/Bluetooth),,2,Petrol,Automatic,Hatchback,A3,16544,1.0,115.0,6617.6,115.0,28633.266487123637
7196,"Audi A3 Limousine 1.4 TFSI PRO LINE S 150pk S-Tronic, Panodak, Navi, Xenon Led",,4,Petrol,Automatic,Sedan,A3,106359,1.4,150.0,23635.333333333332,107.14285714285715,25214.954891368063
7197,Audi A5 Cabriolet 3.0 TDI QUATTRO PRO LINE S OPEN DAYS Navi Clima Pdc Leder S-LINE  Quatro Elek ramen voor en achter Dealer onderhouden  Bovag garantie mogelijk,,6,Diesel,Automatic,Cabriolet,A5,148941,3.0,,22914.0,,27393.536801060814
7198,Audi Q3 2.0 TDI 118.683km EURO 6 2015 NIEUW MODEL Navi Leder Stoelverwarming,,4,Diesel,Manual,SUV,Q3,118773,2.0,,26394.0,,27609.199006695013
7199,Audi A1 1.6 TDI AMBITION PRO LINE BUSINESS,,5,Diesel,Manual,Hatchback,A1,156709,1.6,,28492.545454545456,,13070.139708448105
7200,Audi A8 / 4.0 TDI / QUATTRO / YOUNGTIMER,,16,Diesel,Automatic,Sedan,A8,167130,4.0,,10129.09090909091,,20698.450301186334
7201,"Audi A3 Limousine 30 Tfsi 116pk S Line Edition, Mmi navigatie, Parkeersensoren, LED, Telefoon",,1,Petrol,Manual,Sedan,A3,0,30.0,116.0,0.0,3.8666666666666667,38408.346888726875
7202,Audi A4 2.0 TDI s-line 150 pk Prachtige staat,,9,Diesel,Manual,Sedan,A4,258899,2.0,150.0,27252.526315789473,75.0,10370.488306757501
7203,Audi A5 Coupé 1.8 TFSI 170pk 2xS-Line Xenon MMI-Plus Leder/Alcantara Pdc-V/A 19inch,,7,Petrol,Manual,Coupe,A5,152641,1.8,170.0,20352.133333333335,94.44444444444444,19709.139288567265
7204,Audi Q2 1.4 TFSI CoD 150pk S-tronic Design Pro Line Plus + Panoramadak,,1,Petrol,Automatic,SUV,Q2,0,1.4,150.0,0.0,107.14285714285715,43329.69931978248
7205,Audi A1 Sportback 1.0 TFSI 95pk Advance,,1,Petrol,Manual,Hatchback,A1,0,1.0,95.0,0.0,95.0,25676.705019426237
7206,Audi A7 sportback 3.0 TFSI Pro Line Plus Quattro S-Tronic Aut Schkdak Luchtvering,,4,Petrol,Automatic,Hatchback,A7,48607,3.0,,10801.555555555555,,54211.938491785964
7207,Audi A3 Sportback 1.5 TFSI CoD S-Tronic Sport S-Line | Navi | LED automaat,,2,Petrol,Automatic,Hatchback,A3,21992,1.5,,8796.8,,31157.65768500975
7208,Audi A6 2.0 TFSI 170pk AUTOMAAT RIJKLAAR,,9,Petrol,Automatic,Station wagon,A6,209790,2.0,170.0,22083.157894736843,85.0,12846.65509968879
7209,"Audi A3 1.8Tfsi Automaat, Navi, Cruise, afn. trekhaak",,5,Petrol,Automatic,Cabriolet,A3,41676,1.8,,7577.454545454545,,31302.20149774056
7210,Audi Q2 1.0 TFSI Sport Pro Line 85 kW / 116 pk,,1,Petrol,Automatic,SUV,Q2,0,1.0,116.0,0.0,116.0,40885.78923250263
7211,"Audi A5 Cabriolet 2.0 TFSI PRO LINE Leder ECC-Airco Cr.Control 17""LMV LED Keyless Entry Dealerauto",,10,Petrol,Manual,Cabriolet,A5,152183,2.0,,14493.619047619048,,16692.957093048586
7212,Audi A4 Avant 2.0 TDI Automaat Sport *Navigatie/Nieuw Model*,,3,Diesel,Automatic,Station wagon,A4,91593,2.0,,26169.428571428572,,30867.758890759265
7213,Audi Q5 190pk TDI |Stoelkoeling|Luchtv.|360view|B&O,,2,Diesel,Automatic,SUV,Q5,15588,,190.0,6235.2,,70121.15503776244
7214,Audi Q2 1.0 TFSI 116 PK SPORT PRO LINE S |2 x S-LINE|NAVIGATIE EUROPA|LEDER-STOF INTERIEUR|ZWART OPTIEKPAKKET|,,2,Petrol,Manual,SUV,Q2,25528,1.0,116.0,10211.2,116.0,30876.398063948775
7215,"Audi A6 Allroad 3.0 TDI ""S - Line"" Automaat + Schuifdak !!!",,13,Diesel,Automatic,SUV,A6,292805,3.0,,21689.25925925926,,6908.282037933696
7216,Audi A1 Sportback 30 TFSI 116pk Advanced epic,,1,Petrol,Manual,Hatchback,A1,0,30.0,116.0,0.0,3.8666666666666667,33529.092008226544
7217,Audi A5 Sportback S-line edition 40 TFSI S tronic,,1,Petrol,Automatic,Hatchback,A5,0,40.0,,0.0,,67384.6673321934
7218,Audi A6 50 TDI quattro Sport Pro Line S 210 kW / 286 pk,,1,Diesel,Automatic,Sedan,A6,0,50.0,286.0,0.0,5.72,100878.27531570643
7219,Audi A6 2.0TDi Business Edition Ultra Aut.,,4,Diesel,Automatic,Sedan,A6,110781,2.0,,24618.0,,29650.672878568523
7220,Audi A3 Sportback 35 TFSI 150pk CoD S-Tronic S Line Edition + Panoramadak + B&O Sound,,1,Petrol,Automatic,Hatchback,A3,0,35.0,150.0,0.0,4.285714285714286,43247.36011897122
7221,Audi A3 Limousine 1.6 TDI AUTOMAAT PRO LINE PLUS NAVI HALF-LEER 17'' LMV,,5,Diesel,Automatic,Sedan,A3,122111,1.6,,22202.0,,20580.330875646116
7222,Audi Q3 1.4 TFSI CoD S-tronic S-line Competition,,1,Petrol,Manual,SUV,Q3,0,1.4,,0.0,,45247.47464115605
7223,Audi A6 Avant 2.0 TDI 190PK Automaat XENON/LEER/NAVI/LED,,4,Diesel,Automatic,Station wagon,A6,75612,2.0,190.0,16802.666666666668,95.0,32863.789745340975
7224,Audi Q3 2.0 TDI SPORT S-TRONIC PRO LINE PLUS (SUV) (VMO),,7,Diesel,Automatic,SUV,Q3,95933,2.0,,12791.066666666668,,23524.48673733127
7225,"Audi S6 Avant 4.0 V8 TFSI 450PK S6 Pro Line Plus | Supersportstoelen, LED, Panoramadak, Bose, Head-up display etc.",,4,Petrol,Automatic,Station wagon,S6,59245,8.0,450.0,13165.555555555555,56.25,67883.1982005002
7226,Audi A7 Sportback A7 50TDI Quattro Pro Line S,,1,Diesel,Automatic,Hatchback,A7,4000,50.0,,2666.6666666666665,,120603.84602674826
7227,Audi RS6 Avant 4.0 TFSI 560PK RS6 Quattro Pro Line Plus | Panoramadak | Keramische remmen | Park Assist | Bose sound | Achteruitrijcamera | Stoel- en achterbankverwarming | 21 inch lichtmetalen velgen | Lederen bekleding | Climatronic | Spiegelpakket,,5,Petrol,Automatic,Station wagon,RS6,61104,4.0,560.0,11109.818181818182,140.0,87107.83441078813
7228,Audi A1 Sportback 30 TFSI epic,,1,Petrol,Manual,Hatchback,A1,0,30.0,,0.0,,32819.351959067724
7229,Audi TT Roadster 2.0 TFSI 230pk PRO LINE S Automaat,,2,Petrol,Automatic,Cabriolet,TT,26753,2.0,230.0,10701.2,115.0,50523.66175551909
7230,Audi A3 1.9 TDIe Ambie.Pro L. 1 ste eigenaar,,10,Diesel,Manual,Hatchback,A3,137814,1.9,,13125.142857142857,,10054.89653713398
7231,Audi A6 Allroad Quattro 2.7 V6 Exclusive,,17,Petrol,Automatic,SUV,A6,135928,,,7767.314285714286,,10208.679316236132
7232,Audi A4 1.9 TDI 96kW,,17,Diesel,Manual,Station wagon,A4,368821,1.9,,21075.485714285714,,2873.752933009811
7233,"Audi A1 Sportback | Private Lease vanaf € 329,-* | 1.0 TFSI Advance",,1,Petrol,Manual,Hatchback,A1,0,1.0,,0.0,,27219.478282299195
7234,Audi A3 Sportback 1.0 TFSI Sport Lease Edition,,1,Petrol,Automatic,Hatchback,A3,25247,1.0,,16831.333333333332,,31162.58440656909
7235,Audi Cabriolet A4 2.0 PRO LINE | NETTE STAAT,,14,Petrol,Manual,Cabriolet, A4,208358,,,14369.51724137931,,7692.191371533874
7236,"Audi Q2 1.0 TFSI 116PK Automaat Sport Pro Line S / Navi / Clima / Audi Soundsystem / Aluminium optiek interieur / Lederen sportstuur / 17"" Velgen",,1,Petrol,Automatic,SUV,Q2,0,1.0,116.0,0.0,116.0,40885.78923250263
7237,"Audi A4 Allroad 2.0 TFSI 252PK Quattro MHEV Pro Line Plus / Virtual Cockpit / Audi Sound / Parkeerhulp Plus / Navi Plus / Clima / Cruise Control / Stoelverwarming / 18"" Velgen",,1,Petrol,Automatic,SUV,A4,0,2.0,252.0,0.0,126.0,64963.3414617244
7238,"Audi Cabriolet A3 1.4 TFSI S-Tronic Sport Aut. 150PK, Pro Line, Navi, Led, Adaptive Cruise, Stoelverwarming",,2,Petrol,Automatic,Cabriolet, A3,9254,1.4,150.0,3701.6,107.14285714285715,59631.72949677473
7239,"Audi A3 Sportback 1.6 TDI PRO LINE S [S-LINE] S-tronic aut, Panodak, Hleer, Navi, Led Xenon, Full",,6,Diesel,Automatic,Hatchback,A3,154582,1.6,,23781.846153846152,,17633.9325675524
7240,Audi Q5 Pro Line Business 2.0 TFSI Quattro / Navigatie / Parkeersensoren / Telefoon,,6,Petrol,Automatic,SUV,Q5,91224,2.0,,14034.461538461539,,33394.1471078261
7241,Audi A6 Avant 2.0 TDI 177 PK Autom. Navi Pdc v+a,,7,Diesel,Automatic,Station wagon,A6,219891,2.0,177.0,29318.8,88.5,17248.310508304105
7242,Audi A5 Coupé 2.0 TFSI quattro Pro Line / AUTOMAAT,,7,Petrol,Automatic,Coupe,A5,94447,2.0,,12592.933333333332,,24277.351600413967
7243,Audi A4 Avant 4.2 V8 RS4 quattro Audi Exclusive Schaalstoelen Schuifdak Alarm Black Line,,11,Petrol,Manual,Station wagon,A4,130711,,,11366.173913043478,,12177.81124619958
7244,Audi Q3 2.0 Tfsi 170pk Quattro Sport Pro Line | Navigatie | Xenon | P-Sensoren | Clima | Sport Stoelen |,,7,Petrol,Manual,SUV,Q3,81238,2.0,170.0,10831.733333333334,85.0,24198.952760357235
7245,Audi A4 Avant | Binnenkort binnen | 40 TFSI MHEV Sport S line Edition,,0,Petrol,Automatic,Station wagon,A4,0,40.0,,0.0,,63942.47007038947
7246,Audi Q5 2.0 TFSI QUATTRO S-LINE AARDGAS !!!,,7,Petrol,Automatic,SUV,Q5,175124,2.0,,23349.866666666665,,25016.10739484412
7247,Audi A3 Sportback 1.4 TFSI 150pk 2x S-line Sport Edition,,4,Petrol,Manual,Hatchback,A3,186370,1.4,150.0,41415.555555555555,107.14285714285715,17214.019843450886
7248,Audi A3 1.6 TDI 110pk Attraction Pro Line,,5,Diesel,Manual,Sedan,A3,109976,1.6,110.0,19995.636363636364,68.75,18268.37272417214
7249,Audi Q5 2.0 TFSI quattro Pro Line Trekhaak,,10,Petrol,Automatic,SUV,Q5,107355,2.0,,10224.285714285714,,22408.683923719775
7250,Audi A6 Allroad 3.0TDI 240pk Quattro Dak MMI-Navi Leder El.Klep Zw.Hemel Luchtvering,,9,Diesel,Automatic,SUV,A6,249384,3.0,240.0,26250.947368421053,80.0,14754.503016353907
7251,Audi Q2 1.6 TDI 115Pk Sport Navi Clima Cruise PDC Regensensor Sportstoelen LED | EINDEJAARSD€ALS!,,2,Diesel,Manual,SUV,Q2,8382,1.6,115.0,3352.8,71.875,29531.326475655816
7252,"Audi A6 Avant 3.0 TDI BiT 313PK Quattro XENON/19""LMV/LEDER/NAVI/PDC",,5,Diesel,Automatic,Station wagon,A6,96231,3.0,313.0,17496.545454545456,104.33333333333333,37576.843791966436
7253,"Audi A3 Sportback 2.0 TDi 150pk Pro Line S Panoramadak, 2x S-Line, Zwart Leder, Bi-Xenon, Sportstoelen",,6,Diesel,Manual,Hatchback,A3,140669,2.0,150.0,21641.384615384617,75.0,17340.67089578905
7254,"Audi A4 AV 2.0 TDI AUT. 177PK |2x S-Line|Pano|Afn.Trekh |19""",,5,Diesel,Automatic,Station wagon,A4,91430,2.0,177.0,16623.636363636364,88.5,23973.6768871127
7255,Audi Q3 1.4 TFSI CoD 150pk s-tronic Advance Sport,,1,Petrol,Automatic,SUV,Q3,0,1.4,150.0,0.0,107.14285714285715,48283.92697920211
7256,"Audi Q2 1.0 Tfsi 116pk S-tronic S-Line DAB, Parkeerhulp plus, Electr. achterklep",,2,Petrol,Automatic,SUV,Q2,23378,1.0,116.0,9351.2,116.0,33339.0553604626
7257,"Audi A4 Avant 1.8 TFSI Pro Line Plus 170pk Aut, Navi, Xenon Led, ECC, LMV",,5,Petrol,Automatic,Station wagon,A4,88550,1.8,170.0,16100.0,94.44444444444444,25468.002539745044
7258,Audi A1 1.2 86PK TFSI CONNECT/NAVI/AIRCO,,7,Petrol,Manual,Hatchback,A1,98378,,86.0,13117.066666666668,,14441.823404279661
