index,car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,predicted_price
7136,Audi A3 LIMOUSINE 1.6TDI 110PK S-TRONIC PRO LINE S / NAVI / XENON / 18'',,3,Diesel,Automatic,Sedan,A3,75111,27698.216666666667
7137,Audi A3 Cabriolet 1.8 TFSI 180 pk Ambition Pro Line S Automaat 2xS-line/Navi/Camara/Leder/Ecc/Pdc/18inch,,5,Petrol,Automatic,Cabriolet,A3,37950,30157.116666666665
7138,Audi A3 Sportback 1.6 TDI Attraction Navigatie Airco/ecc,,7,Diesel,Manual,Hatchback,A3,131359,11836.65
7139,Audi A3 Sportback 1.0 TFSI S Line Edition 85 kW / 116 pk,,1,Petrol,Manual,Hatchback,A3,0,36972.19161391285
7140,Audi Q5 2.0 TDI 190PK S-TRONIC (VMO),,2,Diesel,Automatic,SUV,Q5,8789,58944.05
7141,"Audi A3 Sportback 1.2 TFSI S-Line, Navigatie, Trekhaak, Xenon",,9,Petrol,Manual,Hatchback,A3,112281,10146.933333333332
7142,Audi A1 Sportback 1.0 TFSI Design Pro Line - 95 pk   Xenon   Navi,,2,Petrol,Manual,Hatchback,A1,13400,20255.65
7143,Audi A3 Sportback 1.6 TDI Attraction Business Edition INCL. 6 MND BOVAG,,7,Diesel,Manual,Hatchback,A3,136439,12053.733333333334
7144,Audi A5 Sportback 2.0 TDI Aut. 100KW Business,,5,Diesel,Automatic,Hatchback,A5,107327,26397.583333333332
7145,Audi A5 Sportback 2.0 TFSI 252PK tiptronic quattro Sport | S-Line interieur/exterieur | Navigatie MMI+ | LED | Audi Virtual Cockpit | Keyless Entry | 20 inch lichtmetalen velgen | Verlengde fabrieksgarantie t/m 12-2-2023 of 100.000 km | Elektrische achterklep | Parkeersensoren | Lane Assist | Stoelverwarming |,,1,Petrol,Automatic,Hatchback,A5,10593,48840.8
7146,Audi A4 1.6 Advance,,22,Petrol,Manual,Station wagon,A4,340000,4193.833333333333
7147,Audi A6 Avant 2.0 tfsi s-line 250pk autlNav-MMi+,,1,Petrol,Automatic,Station wagon,A6,8560,78045.96666666666
7148,Audi A3 Sportback 2.0 TDI Attraction Pro Line Business,,11,Diesel,Automatic,Hatchback,A3,296113,7698.8
7149,Audi A3 1.0 TFSI 116pk Lease Edition,,1,Petrol,Manual,Sedan,A3,25450,32791.75
7150,Audi A3 SPORTBACK 1.6 TDI 81KW PROLINE+,,5,Diesel,Manual,Hatchback,A3,212820,10990.816666666668
7151,Audi A1 Sportback 30TFSI/116pk Epic · Airconditioning volautomatisch · Virtual cockpit · Connected services,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7152,Audi A5 Coupé 4.2 FSI S5 quattro Pro Line B&O * 20 INCH * VERLAAGT *,,12,Petrol,Manual,Coupe,A5,157831,14360.416666666666
7153,Audi Q5 3.0 TDI quattro Pro Line Aut./Xenon/Leder/Navi,,9,Diesel,Automatic,SUV,Q5,163248,20524.666666666668
7154,Audi Q3 1.4 TFSI 150pk S-Tronic Sport S Line,,2,Petrol,Automatic,SUV,Q3,19500,38745.816666666666
7155,Audi A5 Sportback 35 TFSI Sport S-line Edition 110 kW / 150 pk,,0,Petrol,Automatic,Hatchback,A5,0,58188.83394900889
7156,Audi RS6 5.0 TFSI QUATTRO VOLLEDIGE HISTORIE BEKEND! NP 178K,,10,Petrol,Automatic,Station wagon,RS6,153025,36021.683333333334
7157,Audi A4 Avant 4.2 FSI RS4 quattro | B&O | DAB |,,6,Petrol,Automatic,Station wagon,A4,64150,23653.933333333334
7158,Audi Q2 1.4TFSI 150PK COD SPORT ADAPTIVE CC|COMFORTAIRCONDITIONING|SPORTSTOELEN|MMI NAVIGATIE|FABRIEKSGARANTIE2+2|,,1,Petrol,Manual,SUV,Q2,25374,33865.78333333333
7159,Audi A6 Allroad 3.0 TDI QUATTRO Pro Line XENON/LEER.ALCANTARA/NAVI/Top auto !!,,7,Diesel,Automatic,Station wagon,A6,108000,28000.55
7160,Audi A3 SPORTBACK 1.2TSI Ambition Pro Line Plus [ xenon navi sportstoelen ],,5,Petrol,Manual,Hatchback,A3,100523,19804.133333333335
7161,Audi A6 2.0 TDI ULTRA S-TRONIC 110KW Proline plus,,4,Diesel,Automatic,Sedan,A6,89215,34138.166666666664
7162,Audi A3 Sportback 1.6 TDI Ambition,,8,Diesel,Manual,Hatchback,A3,191095,9835.183333333332
7163,Audi A6 2.0 TDI 136pk Business Edition Leder/Stoelverwarming,,5,Diesel,Manual,Station wagon,A6,87186,22432.316666666666
7164,Audi Q5 2.0 TFSI 225PK Quattro Pro Line Automaat Navi / Climate Controle / Cruise Control / Xenon Verlichting / LMV 18'',,7,Petrol,Automatic,SUV,Q5,82041,34624.73333333333
7165,Audi A4 AVANT 2.0 TDI Ultra Sport 2x S-line [Xenon Navi],,4,Diesel,Manual,Station wagon,A4,135495,19036.916666666668
7166,Audi SQ7 435PK 7P |Keram.|B&O|Sportdiff.|Volleder|Carb.inl.,,2,Diesel,Automatic,SUV,SQ7,33507,124021.45
7167,Audi A3 1.8 5V Ambiente MEENEEMPRIJS/APK TM 30-11-2019/ECC/LMV/CRUISE,,17,Petrol,Manual,Hatchback,A3,259343,2447.616666666667
7168,"Audi A3 Sportback 1.0 TFSI 115 PK Sport Pro Line Sportstoelen, Navigatie, stoelverwarming, Verlengde garantie",,1,Petrol,Manual,Hatchback,A3,7954,30544.84
7169,Audi A6 Avant 2.0 TDi 07-2014 ::::: Xenon Navi LED Chroom,,5,Diesel,Manual,Station wagon,A6,112276,19606.016666666666
7170,"Audi A4 Avant 1.8 TFSI S-LINE AUTOMAAT 18.392 KM !!! / SPORTSTOELEN HALF LEER / SPORTONDERSTEL / 18 ""LM / XENON / ANTRACIETE HEMEL / S-LINE BUMPERS",,4,Petrol,Automatic,Station wagon,A4,18392,32731.5
7171,Audi A6 Avant 40 TDI SPORT LAUNCH EDITION BUSINESS * MMI PLUS * VIRTUAL COCKPIT * VSB7931,,1,Diesel,Automatic,Station wagon,A6,0,80452.53669673459
7172,Audi Q2 1.4 TFSI CoD 6-bak Pro Line S,,1,Petrol,Manual,SUV,Q2,0,36602.27177051021
7173,Audi Q2 30 TFSI Sport Pro Line,,1,Petrol,Manual,SUV,Q2,0,36602.27177051021
7174,Audi A4 Avant 3.2 FSI quattro S-Line Automaat | Leer | B&O | Panoramdak |,,9,Petrol,Automatic,Station wagon,A4,95258,19839.616666666665
7175,Audi A1 Sportback 1.0 TFSI 95 PK Advance Sport | XENON | S line Edition *NIEUW*(477573),,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7176,Audi A3 Sportback 1.6 TDI ATr. PRO LINE NAVI / CRUISE / NW TYPE,,6,Diesel,Manual,Hatchback,A3,170715,13234.783333333333
7177,Audi A7 Sportback 55 TFSI 340pk S-tronic Quattro Pro Line S + Wegkl. Trekhaak + Assistentiepakket,,1,Petrol,Automatic,Hatchback,A7,9739,94027.39238095238
7178,Audi A6 Limousine 3.0 TDI PL+ Xenon Navi Stuurverw. 2xPDC Drive-Select Trekhaak!,,8,Diesel,Automatic,Sedan,A6,230702,18369.75
7179,Audi A1 1.4 TFSI S-LINE NAV. HALF LEER Winterbanden aanwezig,,8,Petrol,Manual,Hatchback,A1,63606,11315.25
7180,"Audi A6 2.4 automaat, leder, climate, zeer netjes!",,15,Petrol,Automatic,Sedan,A6,161796,7743.25
7181,"Audi A5 Sportback 1.8 TFSI 170 PK Proline +, NL Auto, 1e Eig, Leder, Bi Xenon, Pdc, Navigatie, Clima, Cruise, Dealeronderhouden!",,5,Petrol,Manual,Hatchback,A5,91371,24615.616666666665
7182,Audi Coupe A5 252PK Quattro |B&O|Camera|Matrix|HUD,,3,Petrol,Automatic,Coupe, A5,48063,41210.75666666667
7183,Audi A3 Sportback 1.6 TDI Attraction / MMI navi / lm velgen / clima /cruise contr,,8,Diesel,Manual,Hatchback,A3,171577,9387.016666666666
7184,Audi A3 1.6 TDI 105 PK 6-Bak Sportback Attraction (BNS),,5,Diesel,Manual,Hatchback,A3,27358,19078.25
7185,Audi RS6 Avant QUATTRO 560PK *Dynamic Plus-LED-ACC-BTW,,5,Petrol,Automatic,Station wagon,RS6,100000,79923.01666666666
7186,Audi A3 Sportback 1.2 TFSI Navi | Xenon | Trekhaak | Climate control Inclusief 6 maanden Bovag garantie,,7,Petrol,Manual,Hatchback,A3,103310,12914.266666666666
7187,"Audi A3 Sportback 1.4 TFSI E-Tron Attract Pro Line Plus, Automaat, Leder, Navigatie, Panoramadak",,4,Petrol,Automatic,Hatchback,A3,95322,21591.016666666666
7188,"Audi Q5 2.0 TFSI quattro Automaat 210PK (Airco Climate Ctrl,Cruise Ctrl, Navi,Bl.Carkit,Stoelverw.,Parkeersens.,Leder,MET GARANTIE*)",,10,Petrol,Automatic,SUV,Q5,189865,21767.966666666667
7189,Audi A5 Cabriolet 2.0 TFSI,,9,Petrol,Manual,Cabriolet,A5,108521,19703.5
7190,Audi A4 Avant 1.8 TFSI Pro Line S 170PK Xenon/Navi/Clima/Cruise/S-line/73.000KM!,,8,Petrol,Manual,Station wagon,A4,73122,18035.116666666665
7191,Audi A1 Sportback | Direct leverbaar | 30 TFSI Advanced | Full led verlichting | 17 inch | MMI Navi voorbereiding | Climate control | Cruise Control |,,0,Petrol,Manual,Hatchback,A1,0,32568.056175660055
7192,"Audi A4 Avant 2.0 Exclusive Clima, Cruise, Pdc, Trekhaak, Nette auto",,17,Petrol,Manual,Station wagon,A4,242280,3743.1
7193,"Audi Q7 V12 6.0 TDI  500 PK Quattro Tiptronic Automaat Facelift (Cruise/Airco Climate Ctrl,Navi.,Stoelverw.,Xenon,Bl.Carkit,Parkeersens.,MET GARANTIE*)",,10,Diesel,Automatic,SUV,Q7,178658,22792.883333333335
7194,Audi A3 Sportback 1.4 TFSI Attraction Pro Line,,6,Petrol,Manual,Hatchback,A3,90750,17990.85
7195,Audi A3 Sportback 1.0 TFSI 115 pk Aut. S-Tronic Pro Line (XEN/NAV/PDC/Bluetooth),,2,Petrol,Automatic,Hatchback,A3,16544,29834.566666666666
7196,"Audi A3 Limousine 1.4 TFSI PRO LINE S 150pk S-Tronic, Panodak, Navi, Xenon Led",,4,Petrol,Automatic,Sedan,A3,106359,22511.95
7197,Audi A5 Cabriolet 3.0 TDI QUATTRO PRO LINE S OPEN DAYS Navi Clima Pdc Leder S-LINE  Quatro Elek ramen voor en achter Dealer onderhouden  Bovag garantie mogelijk,,6,Diesel,Automatic,Cabriolet,A5,148941,28054.6
7198,Audi Q3 2.0 TDI 118.683km EURO 6 2015 NIEUW MODEL Navi Leder Stoelverwarming,,4,Diesel,Manual,SUV,Q3,118773,25834.266666666666
7199,Audi A1 1.6 TDI AMBITION PRO LINE BUSINESS,,5,Diesel,Manual,Hatchback,A1,156709,13174.183333333332
7200,Audi A8 / 4.0 TDI / QUATTRO / YOUNGTIMER,,16,Diesel,Automatic,Sedan,A8,167130,13457.116666666667
7201,"Audi A3 Limousine 30 Tfsi 116pk S Line Edition, Mmi navigatie, Parkeersensoren, LED, Telefoon",,1,Petrol,Manual,Sedan,A3,0,39365.098533960976
7202,Audi A4 2.0 TDI s-line 150 pk Prachtige staat,,9,Diesel,Manual,Sedan,A4,258899,9917.033333333333
7203,Audi A5 Coupé 1.8 TFSI 170pk 2xS-Line Xenon MMI-Plus Leder/Alcantara Pdc-V/A 19inch,,7,Petrol,Manual,Coupe,A5,152641,16807.266666666666
7204,Audi Q2 1.4 TFSI CoD 150pk S-tronic Design Pro Line Plus + Panoramadak,,1,Petrol,Automatic,SUV,Q2,0,42252.942052272585
7205,Audi A1 Sportback 1.0 TFSI 95pk Advance,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7206,Audi A7 sportback 3.0 TFSI Pro Line Plus Quattro S-Tronic Aut Schkdak Luchtvering,,4,Petrol,Automatic,Hatchback,A7,48607,53128.86666666667
7207,Audi A3 Sportback 1.5 TFSI CoD S-Tronic Sport S-Line | Navi | LED automaat,,2,Petrol,Automatic,Hatchback,A3,21992,35578.05
7208,Audi A6 2.0 TFSI 170pk AUTOMAAT RIJKLAAR,,9,Petrol,Automatic,Station wagon,A6,209790,13635.516666666666
7209,"Audi A3 1.8Tfsi Automaat, Navi, Cruise, afn. trekhaak",,5,Petrol,Automatic,Cabriolet,A3,41676,30183.666666666668
7210,Audi Q2 1.0 TFSI Sport Pro Line 85 kW / 116 pk,,1,Petrol,Automatic,SUV,Q2,0,42252.942052272585
7211,"Audi A5 Cabriolet 2.0 TFSI PRO LINE Leder ECC-Airco Cr.Control 17""LMV LED Keyless Entry Dealerauto",,10,Petrol,Manual,Cabriolet,A5,152183,17149.233333333334
7212,Audi A4 Avant 2.0 TDI Automaat Sport *Navigatie/Nieuw Model*,,3,Diesel,Automatic,Station wagon,A4,91593,30087.566666666666
7213,Audi Q5 190pk TDI |Stoelkoeling|Luchtv.|360view|B&O,,2,Diesel,Automatic,SUV,Q5,15588,63595.066666666666
7214,Audi Q2 1.0 TFSI 116 PK SPORT PRO LINE S |2 x S-LINE|NAVIGATIE EUROPA|LEDER-STOF INTERIEUR|ZWART OPTIEKPAKKET|,,2,Petrol,Manual,SUV,Q2,25528,32070.85
7215,"Audi A6 Allroad 3.0 TDI ""S - Line"" Automaat + Schuifdak !!!",,13,Diesel,Automatic,SUV,A6,292805,7774.3
7216,Audi A1 Sportback 30 TFSI 116pk Advanced epic,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7217,Audi A5 Sportback S-line edition 40 TFSI S tronic,,1,Petrol,Automatic,Hatchback,A5,0,58238.0792900887
7218,Audi A6 50 TDI quattro Sport Pro Line S 210 kW / 286 pk,,1,Diesel,Automatic,Sedan,A6,0,91145.41250656873
7219,Audi A6 2.0TDi Business Edition Ultra Aut.,,4,Diesel,Automatic,Sedan,A6,110781,35847.53333333333
7220,Audi A3 Sportback 35 TFSI 150pk CoD S-Tronic S Line Edition + Panoramadak + B&O Sound,,1,Petrol,Automatic,Hatchback,A3,0,41960.6792971421
7221,Audi A3 Limousine 1.6 TDI AUTOMAAT PRO LINE PLUS NAVI HALF-LEER 17'' LMV,,5,Diesel,Automatic,Sedan,A3,122111,19660.333333333332
7222,Audi Q3 1.4 TFSI CoD S-tronic S-line Competition,,1,Petrol,Manual,SUV,Q3,0,45142.32807563316
7223,Audi A6 Avant 2.0 TDI 190PK Automaat XENON/LEER/NAVI/LED,,4,Diesel,Automatic,Station wagon,A6,75612,48461.35
7224,Audi Q3 2.0 TDI SPORT S-TRONIC PRO LINE PLUS (SUV) (VMO),,7,Diesel,Automatic,SUV,Q3,95933,23479.333333333332
7225,"Audi S6 Avant 4.0 V8 TFSI 450PK S6 Pro Line Plus | Supersportstoelen, LED, Panoramadak, Bose, Head-up display etc.",,4,Petrol,Automatic,Station wagon,S6,59245,70413.2
7226,Audi A7 Sportback A7 50TDI Quattro Pro Line S,,1,Diesel,Automatic,Hatchback,A7,4000,92117.12170306544
7227,Audi RS6 Avant 4.0 TFSI 560PK RS6 Quattro Pro Line Plus | Panoramadak | Keramische remmen | Park Assist | Bose sound | Achteruitrijcamera | Stoel- en achterbankverwarming | 21 inch lichtmetalen velgen | Lederen bekleding | Climatronic | Spiegelpakket,,5,Petrol,Automatic,Station wagon,RS6,61104,91951.9
7228,Audi A1 Sportback 30 TFSI epic,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7229,Audi TT Roadster 2.0 TFSI 230pk PRO LINE S Automaat,,2,Petrol,Automatic,Cabriolet,TT,26753,47648.26666666667
7230,Audi A3 1.9 TDIe Ambie.Pro L. 1 ste eigenaar,,10,Diesel,Manual,Hatchback,A3,137814,9701.183333333332
7231,Audi A6 Allroad Quattro 2.7 V6 Exclusive,,17,Petrol,Automatic,SUV,A6,135928,8114.533333333334
7232,Audi A4 1.9 TDI 96kW,,17,Diesel,Manual,Station wagon,A4,368821,2159.4333333333334
7233,"Audi A1 Sportback | Private Lease vanaf € 329,-* | 1.0 TFSI Advance",,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7234,Audi A3 Sportback 1.0 TFSI Sport Lease Edition,,1,Petrol,Automatic,Hatchback,A3,25247,31966.75
7235,Audi Cabriolet A4 2.0 PRO LINE | NETTE STAAT,,14,Petrol,Manual,Cabriolet, A4,208358,6241.983333333334
7236,"Audi Q2 1.0 TFSI 116PK Automaat Sport Pro Line S / Navi / Clima / Audi Soundsystem / Aluminium optiek interieur / Lederen sportstuur / 17"" Velgen",,1,Petrol,Automatic,SUV,Q2,0,42252.942052272585
7237,"Audi A4 Allroad 2.0 TFSI 252PK Quattro MHEV Pro Line Plus / Virtual Cockpit / Audi Sound / Parkeerhulp Plus / Navi Plus / Clima / Cruise Control / Stoelverwarming / 18"" Velgen",,1,Petrol,Automatic,SUV,A4,0,67030.22519226825
7238,"Audi Cabriolet A3 1.4 TFSI S-Tronic Sport Aut. 150PK, Pro Line, Navi, Led, Adaptive Cruise, Stoelverwarming",,2,Petrol,Automatic,Cabriolet, A3,9254,50734.28333333333
7239,"Audi A3 Sportback 1.6 TDI PRO LINE S [S-LINE] S-tronic aut, Panodak, Hleer, Navi, Led Xenon, Full",,6,Diesel,Automatic,Hatchback,A3,154582,21235.216666666667
7240,Audi Q5 Pro Line Business 2.0 TFSI Quattro / Navigatie / Parkeersensoren / Telefoon,,6,Petrol,Automatic,SUV,Q5,91224,33480.55
7241,Audi A6 Avant 2.0 TDI 177 PK Autom. Navi Pdc v+a,,7,Diesel,Automatic,Station wagon,A6,219891,20203.933333333334
7242,Audi A5 Coupé 2.0 TFSI quattro Pro Line / AUTOMAAT,,7,Petrol,Automatic,Coupe,A5,94447,25281.95
7243,Audi A4 Avant 4.2 V8 RS4 quattro Audi Exclusive Schaalstoelen Schuifdak Alarm Black Line,,11,Petrol,Manual,Station wagon,A4,130711,13986.366666666667
7244,Audi Q3 2.0 Tfsi 170pk Quattro Sport Pro Line | Navigatie | Xenon | P-Sensoren | Clima | Sport Stoelen |,,7,Petrol,Manual,SUV,Q3,81238,23974.583333333332
7245,Audi A4 Avant | Binnenkort binnen | 40 TFSI MHEV Sport S line Edition,,0,Petrol,Automatic,Station wagon,A4,0,55734.53315093718
7246,Audi Q5 2.0 TFSI QUATTRO S-LINE AARDGAS !!!,,7,Petrol,Automatic,SUV,Q5,175124,26413.616666666665
7247,Audi A3 Sportback 1.4 TFSI 150pk 2x S-line Sport Edition,,4,Petrol,Manual,Hatchback,A3,186370,14420.933333333332
7248,Audi A3 1.6 TDI 110pk Attraction Pro Line,,5,Diesel,Manual,Sedan,A3,109976,17560.683333333334
7249,Audi Q5 2.0 TFSI quattro Pro Line Trekhaak,,10,Petrol,Automatic,SUV,Q5,107355,21199.083333333332
7250,Audi A6 Allroad 3.0TDI 240pk Quattro Dak MMI-Navi Leder El.Klep Zw.Hemel Luchtvering,,9,Diesel,Automatic,SUV,A6,249384,16683.55
7251,Audi Q2 1.6 TDI 115Pk Sport Navi Clima Cruise PDC Regensensor Sportstoelen LED | EINDEJAARSD€ALS!,,2,Diesel,Manual,SUV,Q2,8382,31016.5478968254
7252,"Audi A6 Avant 3.0 TDI BiT 313PK Quattro XENON/19""LMV/LEDER/NAVI/PDC",,5,Diesel,Automatic,Station wagon,A6,96231,33141.53333333333
7253,"Audi A3 Sportback 2.0 TDi 150pk Pro Line S Panoramadak, 2x S-Line, Zwart Leder, Bi-Xenon, Sportstoelen",,6,Diesel,Manual,Hatchback,A3,140669,15669.183333333332
7254,"Audi A4 AV 2.0 TDI AUT. 177PK |2x S-Line|Pano|Afn.Trekh |19""",,5,Diesel,Automatic,Station wagon,A4,91430,24995.133333333335
7255,Audi Q3 1.4 TFSI CoD 150pk s-tronic Advance Sport,,1,Petrol,Automatic,SUV,Q3,0,49576.28797111235
7256,"Audi Q2 1.0 Tfsi 116pk S-tronic S-Line DAB, Parkeerhulp plus, Electr. achterklep",,2,Petrol,Automatic,SUV,Q2,23378,33924.2
7257,"Audi A4 Avant 1.8 TFSI Pro Line Plus 170pk Aut, Navi, Xenon Led, ECC, LMV",,5,Petrol,Automatic,Station wagon,A4,88550,23960.3
7258,Audi A1 1.2 86PK TFSI CONNECT/NAVI/AIRCO,,7,Petrol,Manual,Hatchback,A1,98378,12857.2
7259,Audi A3 1.4 TFSI Attraction Business,,11,Petrol,Manual,Hatchback,A3,172652,9405.116666666667
7260,"Audi Q3 1.4 TFSI COD SPORT S LINE EDITION, LED, NAVI, PANORAMA DAK",,2,Petrol,Automatic,SUV,Q3,16159,37915.36666666667
7261,Audi A4 Avant S line edition 40 TFSI MHEV S tronic 190 pk,,0,Petrol,Automatic,Station wagon,A4,0,55734.53315093718
7262,Audi A3 Limousine 1.6 TDI Sport Lease Ed. Automaat Virtual Cockpit/LED koplampen/Dyn. knipperlichten/Sportstoelen,,2,Diesel,Automatic,Sedan,A3,32224,29180.1
7263,Audi A4 Avant 2.0 TDI 143pk Automaat Pro Line -NAVI-ECC-,,7,Diesel,Automatic,Station wagon,A4,211866,20401.666666666668
7264,Audi A3 Cabriolet S line edition 1.5 TFSI CoD S tronic 150 pk,,1,Petrol,Automatic,Cabriolet,A3,0,55563.823008052976
7265,Audi A5 Cabriolet 2.0 TFSI PRO LINE S- Line Navi Xenon Led Sportstoelen Leder,,8,Petrol,Manual,Cabriolet,A5,63837,20241.45
7266,Audi A3 Sportback 1.2 TFSI Ambition handgeschakeld,,7,Petrol,Manual,Hatchback,A3,120000,15949.933333333332
7267,Audi A3 Sportback 2.0 TDI Attraction Pro Line Navi Airco Cruise Bluetooth 72.643km!,,6,Diesel,Manual,Hatchback,A3,72643,17308.283333333333
7268,Audi A6 50 TDI 286pk Tiptronic Quattro Sport Pro Line S + Panoramadak + Assistentiepakket Tour,,1,Diesel,Automatic,Sedan,A6,0,91145.41250656873
7269,Audi A3 1.6 TDI S tronic S LINE EDITION LIMOUSINE,,2,Diesel,Automatic,Sedan,A3,67359,29356.597777777777
7270,Audi A3 Limousine Sport Pro Line S 1.6 TDI S-tronic / Navigatie / Apple Carplay / Parkeersensoren,,2,Diesel,Automatic,Sedan,A3,43889,31409.76333333334
7271,Audi A3 Limousine 1.4 TFSI Ambition Pro Line Plus,,4,Petrol,Manual,Sedan,A3,83303,22784.15
7272,Audi A4 Avant 1.4 TFSI 150pk S-tronic Sport S-Line Edition,,1,Petrol,Automatic,Station wagon,A4,0,55269.9491053244
7273,Audi A5 Sportback 2.0 TFSI MHEV 190PK S-Tronic S-Line,,1,Petrol,Automatic,Hatchback,A5,14890,51603.03333333333
7274,Audi A3 Sportback 1.5 TFSI 150PK Sport S Line Edition / Led koplampen / dynamische knipperlichten / instapverlichting / 18 inch LM velgen / Stof-leder combinatie / Audi drive select / Audi Sound system,,1,Petrol,Manual,Hatchback,A3,16118,31601.641111111116
7275,Audi A5 Coupe S Edition 2.0 TDI 140kw/190pk Multitronic,,4,Diesel,Automatic,Coupe,A5,72105,39742.96666666667
7276,"Audi A4 Avant 2.0 TDI DESIGN PRO LINE PLUS 190pk, Sportstoelen, Virtual cockpit, Achteruitrijcamera",,3,Diesel,Automatic,Station wagon,A4,27404,42971.85
7277,Audi Q3 2.0 TDi SPORT Pr.L / NAVI / LED / XENON,,3,Diesel,Manual,SUV,Q3,115528,27601.483333333334
7278,Audi A6 3.2 FSI QUATTRO PRO LINE 1e eigenaar/ NL-auto/ Navigatie/ Xenon/ Leder/ Park.sens/ 18 inch lmv,,12,Petrol,Automatic,Sedan,A6,190759,9328.816666666668
7279,Audi Q3 2.0 TDI 150PK ULTRA Navi ECC LMV ABS PDC incl btw/bpm,,3,Diesel,Manual,SUV,Q3,4011,40184.028292263276
7280,Audi A4 2.0 TDI Pro Line,,9,Diesel,Automatic,Station wagon,A4,352000,10445.678333333333
7281,Audi A3 Sportback 1.6 TDI Attraction met Leer Navigatie Bose 17'lmv,,9,Diesel,Manual,Hatchback,A3,198020,8011.766666666666
7282,Audi A1 Sportback 1.4 TDI 90PK 5D PRO LINE BNS [ CRUISE+CLIMAAT+NAVI+PDC ],,3,Diesel,Manual,Hatchback,A1,57461,15936.266666666666
7283,Audi A4 Avant 1.8 TFSI S-LINE LEDER/NAVI/PANO/XENON,,8,Petrol,Manual,Station wagon,A4,209078,11906.3
7284,Audi A3 Sportback 2.0 TDI Ambition Pro Line Stoelverwarming Navi Airco Bluetooth,,6,Diesel,Manual,Hatchback,A3,132879,15958.5
7285,Audi Q5 3.0TDI AUT. QUATTRO PRO LINE NAVI | LEDER | XENON,,4,Diesel,Automatic,SUV,Q5,33894,58495.53333333333
7286,Audi A5 Sportback 1.8 TFSI Pro-line   Navi   19'' Lm velgen,,5,Petrol,Automatic,Hatchback,A5,103230,26638.3
7287,Audi A6 2.4 AVANT 125KW AUTOMMAAT,,16,Petrol,Automatic,Station wagon,A6,231918,4628.7
7288,"Audi A1 Sportback 1.0 TFSi 95 pk Adrenalin / S Line exterieur / 17""",,3,Petrol,Manual,Hatchback,A1,51351,20485.266666666666
