index,car description,price (euro),age (year),fuel type,transmission,bodystyle,car model,mileage (km)
36,Audi A1 1.4 TFSI 185PK S-Tronic S edition S-Line Navi/Keyless/Xenon/Bose,15700.0,8,Petrol,Automatic,Hatchback,A1,147243
37,Audi A4 Avant 1.4 TFSI 150pk Navigatie PDC Xenon,34550.0,1,Petrol,Manual,Station wagon,A4,28891
38,Audi Q5 2.0 TFSI Quattro 252pk S-Line Edition |PANO|MMI+|,80400.0,1,Petrol,Automatic,SUV,Q5,0
39,Audi A6 2.8 FSI Pro Line,13400.0,10,Petrol,Manual,Sedan,A6,180105
40,"Audi Q3 1.4 TFSI COD DESIGN PRO LINE PLUS LEDER, KEYLESS, SPORTSTOELEN!",35600.0,2,Petrol,Manual,SUV,Q3,11392
41,Audi Q5 2.0 TFSI quattro 252pk S tronic S Line Edition,71500.0,1,Petrol,Automatic,SUV,Q5,0
42,Audi A3 Sportback 30 TFSI S Line Edition 85 kW / 116 pk,40150.0,0,Petrol,Automatic,Hatchback,A3,0
43,Audi A1 Sportback 1.0 TFSI | EINDEJAARSD€ALS!,23050.0,1,Petrol,Automatic,Hatchback,A1,10180
44,Audi Q5 New S line edition 2.0 185KW/252PK 7 vers. S-tronic Quattro,91500.0,1,Petrol,Automatic,SUV,Q5,0
45,Audi A3 Limousine 30 TFSI 116pk S-tronic S Line Edition,40300.0,1,Petrol,Automatic,Sedan,A3,0
46,Audi A6 3.0 TDI BiT Competition 326PK Luchtvering Matrix S stoelen Camera Bose DAB MMI+ Leder,52450.0,3,Diesel,Automatic,Station wagon,A6,115176
47,"Audi A4 Sedan 2.0 TDIE PRO LINE BUSINESS , Navi , ECC, LMV, 87 dkm !",20900.0,7,Diesel,Manual,Sedan,A4,87192
48,Audi A4 Avant 3.0 TDI QUATTRO S-Line Leder bekleding,6800.0,14,Diesel,Automatic,Station wagon,A4,251527
49,Audi TT Roadster 1.8 5V Turbo 180Pk Youngtimer Leder Elektr Kap,7800.0,18,Petrol,Manual,Cabriolet,TT,186618
50,Audi A6 Avant 3.0 TDI quattro Premium Edition 340pk / S-Line / Supersport /B&O / Side Assist,56650.0,4,Diesel,Automatic,Station wagon,A6,40122
51,Audi A4 3.0 TFSI S4 quattro,23100.0,10,Petrol,Automatic,Station wagon,A4,196979
52,Audi RS6 Avant 4.0 TFSI quattro Pro Line Plus,99700.0,4,Petrol,Automatic,Station wagon,RS6,43500
53,Audi A6 Allroad 3.0-V6 TDI 320 PK BiTurbo quattro Pro Line Plus,76550.0,2,Diesel,Automatic,Station wagon,A6,65759
54,"Audi Q2 1.6 TDI 115PK Sport MMI navi, Led verl, PDC",33000.0,1,Diesel,Manual,SUV,Q2,13643
55,Audi A4 Avant 2.0 TFSI Quattro S-Line,31400.0,4,Petrol,Automatic,Station wagon,A4,101111
56,Audi A6 Avant 2.0 TDI 170 PK AUT ULTRA BUSINESS EDITION 18 INCH RIJKLAAR!!,24150.0,5,Diesel,Automatic,Station wagon,A6,76372
57,Audi A3 Sportback 1.4 TFSI 125pk !! NIEUWSTAAT !!,5900.0,11,Petrol,Manual,Hatchback,A3,265327
58,Audi Q5 3.0 TDI QUATTRO PRO LINE I Leer I Navi I Airco I Automaat I Panorama dak,19900.0,10,Diesel,Automatic,SUV,Q5,184790
59,Audi A3 1.6 ATTRACTION,4550.0,15,Petrol,Manual,Hatchback,A3,154668
60,Audi A5 2.0 TDI 110KW SPORTBACK M-TRONIC S edition,43950.0,2,Diesel,Automatic,Hatchback,A5,41132
61,"Audi A4 Avant 2.0 TDI Pro Line S 169,- p/m! (s-line,leer,xenon)",11950.0,8,Diesel,Manual,Station wagon,A4,219672
62,Audi A4 AVANT 2.0 TDI S EDITION NAVI SPORTSTOELEN XENON,23050.0,6,Diesel,Manual,Station wagon,A4,81343
63,Audi A1 Sportback 1.6 TDI Attraction Pro Line AIRCO  LM Velgen,11300.0,5,Diesel,Manual,Hatchback,A1,180345
64,Audi A4 Avant 1.8 TFSI 170pk Pro Line S Aut. ORG.NL l 2x S-line l 19 inch rotor l NAP l,25150.0,5,Petrol,Automatic,Station wagon,A4,83835
65,Audi A7 Sportback 3.0 TFSI QUATTRO PRO LINE S | 333 pk | Luchtvering | Elektrisch verstelb. bestuurdersstoel met geheugen | Elektrisch glazen schuif-/kanteldak | PDC V+A met achteruitrijcamera | Luxe lederen bekleding | Bose Soundsystem |,57650.0,4,Petrol,Automatic,Hatchback,A7,62901
66,Audi Q5 2.0 TFSI quattro Pro Line 2xS-LINE* NAVIGATIE*PANO-DAK*LM-VELGEN*STOEL-VERW*CRUISE-CONTROLE*,29350.0,9,Petrol,Automatic,SUV,Q5,70209
67,Audi A5 Sportback 2.0TFSI 252PK S-TRONIC QUATTRO S-LINE/PANO.DAK/B&O/FULL OPTIONS,79700.0,1,Petrol,Automatic,Hatchback,A5,0
68,Audi A3 Sportback 1.6 FSI Attraction Pro Line Business navi,7800.0,12,Petrol,Manual,Hatchback,A3,161778
69,"Audi A3 1.9 TDI Attraction Pro Line Business Navi+18""lmv=TOP STAAT !!",4200.0,12,Diesel,Manual,Hatchback,A3,301875
70,Audi A3 Limousine 1.4 TFSI COD S-tronic Pro Line,29250.0,2,Petrol,Automatic,Sedan,A3,30856
71,Audi A4 Avant 1.4 Tfsi 150pk Sport Lease Edition S-Tronic | Navigatie | Led Koplampen | P-Sensoren | Fabrieks Garantie t/m 15-03-2022 of 100.000km,40950.0,1,Petrol,Automatic,Station wagon,A4,21990
72,Audi A5 Sportback 2.0 TFSI MHEV Sport S-line Edition (191PK) | FULL NAV | S. STOELEN | SPORTONDERSTEL | .,48250.0,1,Petrol,Automatic,Hatchback,A5,23981
73,"Audi A6 Avant 2.8 FSi 204 pk Quattro Tiptronic / BOSE / panoramadak / leder / 18""",31400.0,5,Petrol,Automatic,Station wagon,A6,127739
74,Audi A6 Avant 3.0 TDI Pro Line Business,26200.0,7,Diesel,Automatic,Station wagon,A6,147591
75,"Audi A5 Sportback 2.0 TFSI 150pk Sport S-line Edition | OPTIEK ZWART | PRR 19""| PARK PLUS | *NIEUW* (559650)",56300.0,1,Petrol,Automatic,Hatchback,A5,0
76,"Audi A3 Sportback | Privé Lease € 369,-* | 1.5 TFSI 150 pk Lease Edition",40550.0,1,Petrol,Manual,Hatchback,A3,0
77,Audi A4 Allroad 2.0 TFSI quattro Pro Line Business PANO / LEDER,23050.0,7,Petrol,Automatic,Station wagon,A4,160628
78,Audi A4 1.8 5V Turbo quattro Ambition,5250.0,19,Petrol,Manual,Station wagon,A4,220000
79,Audi A4 Avant 1.8 TFSI Pro Line S,24100.0,7,Petrol,Automatic,Station wagon,A4,78076
80,Audi A4 2.7 V6 quattro S4 Advance LEER YOUNGTIMER ZEER MOOI,9450.0,19,Petrol,Manual,Station wagon,A4,253677
81,Audi A5 Sportback 2.0 TDI SPORT EDITION | S tronic | | 2x S-line | Navi | PDC | Zwart optiek | BTW-auto |,30300.0,3,Diesel,Automatic,Hatchback,A5,123348
82,Audi A4 2.0 TDI 150pk Automaat S Edition,23000.0,4,Diesel,Automatic,Sedan,A4,177323
83,Audi A4 1.9 TDI,4700.0,13,Diesel,Manual,Station wagon,A4,289000
84,Audi A3 Cabriolet 1.8 TFSI Ambition Pro Line Leder interieur,12100.0,11,Petrol,Manual,Cabriolet,A3,122916
85,Audi A6 Avant 3.0 TDI QUATTRO PRO LINE,11500.0,9,Diesel,Automatic,Station wagon,A6,275446
86,Audi A3 Sportback 1.0 TFSI S Line Edition 85 kW / 116 pk,36700.0,1,Petrol,Manual,Hatchback,A3,0
87,Audi A1 Sportback 1.0 TFSI 95pk Advance,25150.0,1,Petrol,Manual,Hatchback,A1,0
88,"Audi Q5 2.0 TFSI Quattro Adrenalin Sport, 21"", privacy, MMI navi+, bi-xenon, trekhaak, NL-auto, dealeroh",47200.0,3,Petrol,Automatic,SUV,Q5,62381
89,"Audi Q5 | Nu incl. € 5.950,- voordeel! | 2.0 TFSI Quattro Sport S Line Edition",78700.0,1,Petrol,Automatic,SUV,Q5,0
90,"Audi A6 Allroad 2.7 TDi 180 Pk Pro Line ECC/Navi/Xenon/Leder/Luchtvering/Trekhaak/17"" LMV",9300.0,12,Diesel,Automatic,Station wagon,A6,381072
91,Audi A1 Sportback 1.2 TFSI Admired   Xenon   S-line   Navi   PDC,17250.0,5,Petrol,Manual,Hatchback,A1,47067
92,Audi A4 2.0 TDI 150 PK ULTRA SPORT LEASE EDITION MMI NAVIGATIE EUROPA|SPORTSTOELEN VOOR|LED KOPLAMPEN|CRUISE CONTROL|,41950.0,1,Diesel,Manual,Sedan,A4,14000
93,Audi A4 Avant 3.0 TDI Allroad 272PK quattro Tiptronic -NP 114.000 Euro- | Panoramadak | Demperregeling | B&O | Standkachel | Tour/City/Parking | Sportstoelen |,68200.0,2,Diesel,Automatic,Station wagon,A4,8371
94,"Audi Q2 1.4 TFSI 150PK S-Tronic Sport MMI navi, LED verlichting, Airco",35650.0,1,Petrol,Automatic,SUV,Q2,12972
95,Audi S5 Sportback 3.0 TFSI Quattro LEDER/SCH.DAK/XENON,27250.0,7,Petrol,Automatic,Hatchback,S5,120029
96,Audi Q2 1.4 TFSI 150pk S-Tronic S-Line Navigatie PDC,34550.0,2,Petrol,Automatic,SUV,Q2,39901
97,Audi Q2 1.4 TFSI 150pk S-Tronic #limited,39350.0,1,Petrol,Automatic,SUV,Q2,12000
98,"Audi A6 Avant 2.0 TDI 177pk Automaat RIJKLAAR!! FULL OPTIONS clima, panoramadak, zwart leder/alcantara, xenon+led, 18""LM velgen, full map navigatie, stoelverwarming, sportstoelen, cruise control",29150.0,5,Diesel,Automatic,Station wagon,A6,73663
99,Audi A6 Avant 2.0 TFSI Pro Line Plus | Automaat | LEER | Sportstoelen | Afn Trekhaak,19850.0,7,Petrol,Automatic,Station wagon,A6,165786
100,Audi A4 AVANT 1.8 TFSI S-Line [ 2x S-line panoramadak xenon navi ],12550.0,8,Petrol,Manual,Station wagon,A4,221080
101,"Audi A8 50 TDI quattro Pro Line Plus -OLED/Pdak/20""-",158150.0,1,Diesel,Automatic,Sedan,A8,0
102,Audi A1 1.2 Tfsi Winterbanden Navi Cruise Sportstuur Bluetooth,9400.0,9,Petrol,Manual,Hatchback,A1,159975
103,"Audi Q2 30 TFSI 116pk Sport Pro Line, uw voordeel is 3.640,-",37000.0,1,Petrol,Automatic,SUV,Q2,0
104,"Audi Q3 1.4 TFSI COD 150PK Automaat Adrenalin / Navi / Clima / Cruise Control / Parkeerhulp Achter / 17"" Velgen",33500.0,3,Petrol,Automatic,SUV,Q3,74290
105,Audi A4 1.4 TFSI 150pk S-Tronic Sport Lease Edition Navigatie,35100.0,1,Petrol,Automatic,Sedan,A4,21201
106,Audi A4 2.0 TDI Pro Line Business - S.Line uitgevoerd 191PK,4200.0,14,Diesel,Manual,Station wagon,A4,323843
107,Audi Q3 2.0 TFSI 170pk Quattro Pro Line + MMI Navigatie + Xenon,25700.0,7,Petrol,Manual,SUV,Q3,71487
108,"Audi A5 Sportback 1.8 TFSI 170PK PRO LINE S [S-LINE] , Hleer, Navi, Xenon, LMV",20900.0,7,Petrol,Manual,Hatchback,A5,189127
109,Audi A4 1.8 TFSI 170PK AUTOMAAT BUSINESS EDITION LIMOUSINE | NAVI | XENON+LED | CLIMA | CRUISE | PDC V+A | 17''LM | BLUETOOTH CARKIT,20750.0,6,Petrol,Automatic,Sedan,A4,97625
110,Audi A1 Sportback 30 TFSI Epic 85 kW / 116 pk,31200.0,0,Petrol,Manual,Hatchback,A1,0
111,Audi A5 Sportback 1.8TFSi Aut. S-Edition,38750.0,2,Petrol,Automatic,Hatchback,A5,30000
112,Audi A6 Avant 2.0 TFSI Pro Line AUTOMAAT,9450.0,11,Petrol,Automatic,Station wagon,A6,187837
113,"Audi A4 Avant 1.8 TFSI PRO LINE BUSINESS, AUTOMAAT, NAVIGATIE",13600.0,8,Petrol,Automatic,Station wagon,A4,136022
114,Audi A1 Sportback 1.4 TDI 90pk ultra,16700.0,4,Diesel,Manual,Hatchback,A1,65475
115,Audi A4 Avant 2.0 TDI PRO LINE BUSINESS | LEDER | SPORTSTOELEN | NAVI | TREKHAAK AFN.,9900.0,11,Diesel,Manual,Station wagon,A4,306169
116,Audi A6 2.0 TDI Business Edition,23000.0,6,Diesel,Automatic,Station wagon,A6,197000
117,Audi A1 Sportback 30 TFSI 116pk EPIC | Virtual Cockpit | Contrastpakket 2 - Zwart | NIEUW MODEL | *NIEUW* (558621),30450.0,1,Petrol,Manual,Hatchback,A1,0
118,Audi RS6 Avant Performance 605PK NP.215K! CERAMIC+B&O+PANO.DAK,146950.0,1,Petrol,Automatic,Station wagon,RS6,9755
119,Audi A6 Avant 2.0 TDi 05-2013 ::::: Pano Leder Navi Chroom TH :::::,19400.0,6,Diesel,Manual,Station wagon,A6,151106
120,Audi A4 Avant 1.4 TFSI DESIGN PRO LINE PLUS SPRING ADVANTAGE | Clima | Navi | Cruise | Pdc | Nieuw model | 100% onderhouden |,29900.0,3,Petrol,Manual,Station wagon,A4,34188
121,Audi A4 1.8 TFSI S-LINE SPORTSTOELEN/ECC/LMV/NAVIGATIE/CRUISE,18900.0,5,Petrol,Manual,Sedan,A4,104225
122,Audi A6 Avant 40 TDI 204pk s-tronic Sport Pro Line S,91300.0,1,Diesel,Automatic,Station wagon,A6,0
123,"Audi Q5 2.0 TDI Quattro Sport Pro Line, 20"", leder, MMI navi, xenon, NL-auto, dealeroh, tr.haak",51400.0,2,Diesel,Automatic,SUV,Q5,58141
124,Audi A3 Limousine 2.0 TDi 150pk S-Tronic (NAVI/XENON),30950.0,3,Diesel,Automatic,Sedan,A3,13779
125,"Audi Q2 1.0 TFSI limited Edition Automaat 18 inch, Ambiente lichtpakket,",35650.0,1,Petrol,Automatic,SUV,Q2,22000
126,Audi A1 1.4 TFSI 122pk Ambition Proline Business |Xenon verl.| Navigatie,12550.0,9,Petrol,Manual,Hatchback,A1,81541
127,Audi A3 2.0 TDI Ambition,3600.0,15,Diesel,Manual,Hatchback,A3,296596
128,Audi TT 2.0 TFSI 230PK S-tronic quattro Pro Line S | S-Line interieur/exterieur | Navigatie MMI+ | LED | Audi Virtual Cockpit | Bang & Olufsen sound | 19 inch lichtmetalen velgen | Grootlichtassistent | Lane Assist | Leder/Alcantara | Stoelverwarming | Climatronic | Cruise Control | Alarm | Audi Connect |,41850.0,3,Petrol,Automatic,Coupe,TT,48662
129,Audi S5 SB 3.0TFSI 354pk |B&O|Pano|Standk.|Trekh.|Carbon inleg|MatrixLED| Zw. optiek|Quattro,89150.0,1,Petrol,Automatic,Hatchback,S5,4950
130,Audi A4 AVANT 2.0 TDI/XEN/NAV/PDC/ADVANGE,17750.0,4,Diesel,Manual,Station wagon,A4,158887
131,Audi A3 1.6 attraction business edition,11450.0,9,Petrol,Manual,Hatchback,A3,72709
132,Audi Q5 2.0TFSI 225PK S-Line|PANO|B&O|Zw.opt.|Trekh.|Quattro,46100.0,4,Petrol,Automatic,SUV,Q5,69383
133,Audi A4 Avant 3.0 TDI QUATTRO PRO LINE S | NAvi | S tronic automaat | Leder | Zwart hemel | Full options,36700.0,5,Diesel,Automatic,Station wagon,A4,83365
134,Audi A6 Avant 2.7TDI 190pk 2x S line Bosesound Schuifdak Trekhaak Navigatie El. achterklep,15700.0,8,Diesel,Automatic,Station wagon,A6,198136
135,Audi A4 Avant 2.0 TDIe 136pk Business Edition -NAVI-ECC-,13550.0,6,Diesel,Manual,Station wagon,A4,210318
136,Audi A1 1.2 TFSI Attraction Pro Line Business,10000.0,8,Petrol,Manual,Hatchback,A1,131626
137,Audi A3 1.8 TFSI SPORTBACK 118KW S edition,10500.0,10,Petrol,Manual,Hatchback,A3,118000
138,Audi Q7 3.0 TDI 200KW Quattro Pro Line S Panoramadak,66050.0,4,Diesel,Automatic,SUV,Q7,19441
139,Audi Q7 3.0 TDI Quattro S-tronic 3x S-line 7.pers Panodak Luchtvering Virt.cockpit Head-up Matrix Bose Keyless Standkachel,69250.0,4,Diesel,Automatic,SUV,Q7,84484
140,"Audi A3 1.6 TDI climate control, cruise control",12600.0,8,Diesel,Manual,Hatchback,A3,134243
141,Audi A5 Sportback 1.4 TFSI S-Line Edition 150pk -LED/Clima-,42900.0,1,Petrol,Automatic,Hatchback,A5,19216
142,Audi Q3 2.0 TDI 177pk Quattro Pro Line AUTOMAAT Panoramadak/19inch/S-Line/Xenon,29050.0,5,Diesel,Automatic,SUV,Q3,79722
143,"Audi A3 2.0 TDI QUATTRO 170 pk Xenon (occasion) Xenon,cruise, climate control",3650.0,12,Diesel,Manual,Hatchback,A3,439991
144,Audi Q5 2.0 TDI 190pk Quattro S-Tronic Sport,55550.0,2,Diesel,Automatic,Hatchback,Q5,24934
145,Audi TT 1.8 TURBO 225PK Quattro -Bijtellingsvriendelijk-,9400.0,19,Petrol,Manual,Coupe,TT,153406
146,Audi Q3 1.4 TFSI Sport 2x S-line Pano LED Audi Q3 1.4 TFSI (110 kW) Sport 2x S-line Pano LED,55550.0,1,Petrol,Automatic,SUV,Q3,10
147,Audi TT 1.8 5V TURBO,6550.0,15,Petrol,Manual,Coupe,TT,194645
148,Audi A1 Sportback 30 TFSI 85 kW / 116 pk EDITION ONE * 18 INCH * LED * S-LINE * ACTIEMODEL,38750.0,1,Petrol,Manual,Hatchback,A1,0
149,Audi TT 1.8 TFSI Pro Line l N.A.P. l Facelift,20450.0,8,Petrol,Manual,Cabriolet,TT,87852
150,Audi A4 2.4 V6 Advance,4150.0,19,Petrol,Automatic,Sedan,A4,150420
151,Audi SQ7 4.0 TDI quattro Pro Line + 7p -Luchtvering-4 Wiel besturing-Headup display-Panoramadak-Keyless-,136450.0,1,Diesel,Automatic,SUV,SQ7,10763
152,Audi Q7 3.0 TDI Luchtvering Panodak S Line Kamera Grijs Kenteken,19900.0,12,Diesel,Automatic,SUV,Q7,247112
153,Audi A4 Limousine S-Line Black Edition 2.0 TFSI 190pk S-Tronic,57700.0,1,Petrol,Automatic,Sedan,A4,0
154,Audi A5 2.0 TFSI,55600.0,1,Petrol,Automatic,Hatchback,A5,6135
155,Audi A3 Sportback 2.0 TDI AMBITION PRO LINE navigatie cruise trekhaak 17 inch!!,11000.0,8,Diesel,Manual,Hatchback,A3,165984
156,Audi A1 Sportback 30 TFSI epic S-tronic,37050.0,1,Petrol,Automatic,Hatchback,A1,0
157,"Audi Q5 2.0 TDI QUATTRO SPORT PRO LINE S, navi",77200.0,1,Diesel,Automatic,SUV,Q5,14190
158,Audi A4 Avant 35 TFSI Sport S line edition 110 kW / 150 pk,53300.0,0,Petrol,Automatic,Station wagon,A4,0
159,Audi A6 Avant 3.0 TDI quattro Sport Edition - HUD - Automaat - Panodak - Elek. pakket - S-line - Inruil mogelijk,24100.0,5,Diesel,Automatic,Station wagon,A6,237971
160,Audi A3 Sportback 1.2 TFSI Attraction Xenon Cruise Zeer mooi !!,11550.0,8,Petrol,Manual,Hatchback,A3,107286
161,Audi A3 Limousine 1.0 TFSI 115pk Automaat Navigatie Xenon Cruise control 17'' Lm-v,30350.0,1,Petrol,Automatic,Sedan,A3,14508
162,Audi A4 Allroad Quattro 2.5 V6 TDI Yongtimer,4650.0,19,Diesel,Automatic,SUV,A4,318825
163,Audi A6 Avant 2.8 FSI Pro Line Business,9150.0,9,Petrol,Automatic,Station wagon,A6,307500
164,Audi A5 Cabriolet 2.0 TFSI 180pk Pro Line,19350.0,9,Petrol,Automatic,Cabriolet,A5,83741
165,Audi A6 Avant 40 TDI 204pk Sport Pro Line S / S-line Automaat Adaptief onderstel / Virtual Cockpit / Panorama dak / Stoelverwarming 20 Inch LM Velgen / B&O Soundsysteem / Key-Less entry,83950.0,1,Diesel,Automatic,Station wagon,A6,2000
166,Audi A3 Sportback 1.2 TFSI ATTRACTION ADVANCE Xenon/ Navi/ ECC/ PDC,12500.0,6,Petrol,Manual,Hatchback,A3,111262
167,"Audi A4 Avant 2.0 TDI 143pk S-LINE Autom ,Xenon,HalfLeer,NaviPro,18 Inch",10500.0,8,Diesel,Automatic,Station wagon,A4,226289
168,Audi A5 Sportback 1.8 TFSI Sport Edition S-Line Automaat Xenon B&O 200x Vw-Audi-Seat-Skoda,26650.0,5,Petrol,Automatic,Hatchback,A5,94931
169,Audi A1 Sportback 1.0 TFSI 95pk Advance,25150.0,1,Petrol,Manual,Hatchback,A1,0
170,"Audi A6 2.0 TDI 177pk Pro Line Plus AUTOMAAT Navigatie/Leder VAN: € 21.450,- VOOR:",21450.0,7,Diesel,Automatic,Sedan,A6,117257
171,"Audi A3 Sportback 1.0 TFSi 115 pk Sport Lease Edition / LED / navi / 17""",27200.0,1,Petrol,Manual,Hatchback,A3,21275
172,Audi Q5 Sport Pro Line 2.0 TDI 190pk quattro S tronic (vsb 13782) voorraaddeal,80800.0,1,Diesel,Automatic,SUV,Q5,0
173,Audi A3 SB 1.4 TFSi 150pk Aut. leer xenon navi,17300.0,4,Petrol,Automatic,Hatchback,A3,158877
174,Audi A1 SPORTBACK 1.2TFSI ATTRACTION S-LINE PAKKET,15500.0,5,Petrol,Manual,Hatchback,A1,67776
175,Audi RS4 DESIGNPAKKET+DYNAMICPAKKET 280KMH,128050.0,1,Petrol,Automatic,Station wagon,RS4,12430
176,Audi A4 Avant 2.0 TFSI PRO LINE AUTOMAAT XENON / NAVIGATIE / CHROOMLIJSTEN / CLIMATE CONTROL,15700.0,9,Petrol,Automatic,Station wagon,A4,117548
177,Audi A5 SPORTBACK 2.0 TFSI 190 PK S-TRONIC S-LINE EDITION / NAVI / LED,47150.0,2,Petrol,Automatic,Hatchback,A5,29170
178,Audi Q5 2.0 TDI QUATTRO S EDITION,30100.0,6,Diesel,Automatic,SUV,Q5,155735
179,Audi Q8 50 TDI Quattro 286PK Tiptronic |PANO|B&O|,152800.0,0,Diesel,Automatic,SUV,Q8,0
180,Audi Cabriolet A5 40 TFSI Sport S Line Edition 140 kW / 190 pk,72400.0,1,Petrol,Automatic,Cabriolet, A5,0
181,Audi A3 1.9 TDI VAG TECHNIEK GECHIPT,4350.0,15,Diesel,Manual,Hatchback,A3,198953
182,"Audi A3 Limousine 30 Tfsi 116pk S Line Edition, Parkeersensoren, Mmi navigatie, Telefoon, LED",39100.0,1,Petrol,Manual,Sedan,A3,0
